112 192
1 111 1
2 112 1
3 11 19
3 112 15
4 5 1
4 42 1
5 7 15
5 43 1
6 7 1
6 47 7
7 44 1
7 48 7
8 9 1
8 105 1
8 111 19
9 106 1
9 110 8
9 112 19
10 11 1
10 100 33
10 109 7
11 110 7
12 13 1
12 77 10
13 74 8
13 80 10
14 15 1
15 74 7
15 96 15
16 17 10
16 83 8
16 86 4
16 96 7
17 90 8
17 98 5
17 100 7
18 19 1
18 91 1
19 21 15
19 92 1
20 21 1
20 89 17
20 92 15
20 101 7
21 102 7
22 23 1
22 65 7
22 70 1
22 73 1
23 25 15
23 71 1
23 76 1
24 25 1
24 71 15
24 84 5
24 93 7
25 87 1
25 94 7
26 27 1
26 51 7
26 58 1
27 29 15
27 60 1
28 29 1
28 77 7
29 68 1
29 79 7
30 31 1
30 55 1
31 33 15
31 57 1
32 33 1
32 57 15
32 65 1
32 73 7
33 75 7
34 35 1
34 44 7
34 48 1
34 52 17
35 37 15
35 50 1
35 54 17
36 37 1
36 50 15
36 51 1
36 58 7
37 59 7
37 64 17
38 39 1
38 45 1
39 41 15
39 46 1
40 41 1
40 44 18
40 46 15
40 53 7
41 55 7
42 43 1
42 45 18
43 44 15
43 46 18
45 46 1
47 48 1
47 49 1
48 50 1
49 50 1
49 51 15
52 53 1
52 54 1
53 55 1
53 56 1
54 56 1
54 64 15
55 57 1
56 57 1
56 65 15
58 59 1
58 60 1
59 61 1
59 62 2
60 61 1
60 68 15
61 63 2
61 69 15
62 63 1
62 66 10
63 67 10
63 72 15
64 65 1
64 70 7
66 67 1
66 70 5
67 71 5
67 84 15
68 69 1
69 72 2
70 71 1
72 82 7
72 84 10
73 75 1
73 76 1
74 85 10
75 78 1
75 91 17
76 78 1
76 87 15
77 79 1
77 80 1
78 89 15
78 92 17
79 81 1
79 82 4
80 81 1
80 85 8
81 83 4
81 86 8
82 83 1
82 88 10
83 90 10
84 88 7
85 86 1
87 89 1
88 90 1
88 93 5
90 95 5
91 92 1
93 94 1
93 95 1
94 97 1
94 101 19
95 97 1
95 98 8
96 100 10
97 99 8
97 103 19
98 99 1
99 107 19
101 102 1
101 103 1
102 104 1
102 105 7
103 104 1
103 107 8
104 106 7
104 108 8
105 106 1
106 109 8
107 108 1
108 109 7
109 110 1
111 112 1
