201 1863 1749 557 370 4207 2334
1950 2602 4230 1993 3293 2504 2719
3896 4797 3553 819 1539 3390 2933
3444 2142 2382 1341 824 2246 3572
3598 4435 3832 2863 576 279 878
4373 3845 784 2993 2371 2127 2935
2882 3343 115 593 559 1708 2087
1376 2147 2219 3126 3121 685 2602
2050 504 827 3108 3438 3431 4093
4084 871 95 382 2652 3946 701
4460 1447 3723 3276 4403 3945 1684
4362 4346 240 2470 2451 3515 525
1952 1019 4197 4161 4442 1193 4196
6 3792 3583 3348 680 1924 3656
3944 1373 4450 4230 491 3198 3296
1876 1847 4215 3134 1962 3259 849
298 3379 2636 3435 2080 1337 2013
2811 3856 310 4418 3604 2961 1695
2293 3542 138 1455 2284 3025 2802
2522 3575 4257 1746 2266 838 2641
2246 3461 3062 1263 3678 2169 2522
2466 1398 4438 1004 548 1374 726
2615 3546 1255 2942 3603 236 3284
1164 3788 1186 899 3399 2132 892
4733 401 3705 3962 2642 3273 311
409 442 2781 3045 3328 4229 61
3703 3701 2029 265 1947 761 3437
2218 2160 3390 2213 183 3081 1996
4822 2942 3775 1183 1451 3929 3870
2528 660 371 824 658 4815 4368
3997 2934 4733 2464 492 2238 2874
3955 1919 1191 3779 2714 620 731
3669 1197 4713 788 2537 3508 3973
4056 1588 571 800 3708 4258 2692
1939 1470 3192 175 799 1992 4502
1446 2494 1039 4367 686 2991 3530
1505 3595 1261 1808 1025 4560 1621
2406 4725 1281 1041 3019 1042 2623
1456 2570 1937 4035 4651 2301 870
2035 2001 4113 552 310 998 4170
109 3993 1152 201 178 2548 1690
1016 3797 877 4585 4450 1262 3517
1232 1056 2760 2008 4623 462 2777
4424 2945 3815 1198 1680 2108 2719
2930 3445 3271 2056 4401 2970 2457
1131 2535 4435 2448 3620 1403 3051
3570 1175 1022 1436 2521 3900 4693
1522 2359 142 2518 4466 3786 2575
2151 3643 1542 512 3482 3147 3133
4397 2841 1876 4000 2573 3916 283
1270 830 3398 453 1976 132 820
4066 2149 2134 4749 3093 1773 2445
340 3784 1930 3934 2731 3428 710
4333 1280 3094 4215 1473 3594 732
1733 4119 3739 2160 3734 2542 2598
3366 4263 3883 3003 690 3486 165
4076 1462 34 1979 3748 4009 1558
2175 1111 2495 1893 2970 1565 683
760 2875 3551 1545 251 3173 2536
992 3820 889 3676 4568 1390 2177
997 2478 4037 4107 988 2834 4479
267 2756 1934 953 1423 1011 1402
3890 2706 208 3078 796 2649 2495
149 3494 3521 4155 1500 4171 3413
1414 4756 276 208 233 839 2836
2567 1022 3587 3755 37 2553 1241
2710 3764 3051 900 1369 3959 1022
2782 4969 3490 4269 4114 1415 4438
2382 1434 2485 4629 4693 2258 3011
3165 1428 940 3638 4590 3996 4608
436 1761 1160 501 1495 4371 4495
103 1627 4349 3748 23 2522 651
