1753 4067 1301 3078 2535 4504 662
1792 731 3829 1440 2196 3420 1300
453 4639 2537 3710 4701 433 3302
1135 2821 890 4740 2703 1934 1564
1581 1256 2613 285 1156 3334 4644
239 3031 1145 459 987 939 3250
4636 3354 3712 3688 2687 4342 584
1113 3428 3591 3988 4351 4419 1570
1408 4446 3914 2822 3306 1664 2520
2686 2093 3278 1179 1828 1316 2360
3407 1964 2376 1563 4241 2948 451
3355 1002 981 4786 4500 4592 3973
3973 1754 2910 164 2585 3956 1201
3880 4051 3049 4619 1102 3639 785
3065 3212 971 4658 1680 80 1468
3853 2790 2149 949 112 2749 1912
4690 559 4062 4857 4880 4679 2497
4308 306 3234 2508 2558 4430 2860
260 1120 4116 2502 2172 2787 1066
527 3120 4001 1645 3658 3516 4271
1257 3654 3611 759 4480 2739 3703
1572 3212 3163 2135 1696 2347 3547
1628 1617 629 4512 2651 923 2316
1406 3770 1935 3332 266 3759 2346
1432 1242 4722 636 2012 3464 4408
2980 3459 1938 952 4267 3803 1175
4013 3598 1733 597 1706 570 4318
1104 3920 2847 2493 4158 3053 3697
331 122 3067 1381 861 349 3831
2413 1948 3778 3498 1029 3284 191
94 2600 77 1360 3124 922 2887
1117 4002 3213 1537 3913 3526 1281
4649 1152 643 3349 3712 2732 4326
466 1846 4262 4655 2878 4253 2648
3913 405 1937 4504 4380 3363 3851
1783 1874 3281 3268 684 1361 1700
4480 4734 2187 3042 1723 3541 2952
3049 4308 1486 884 4790 771 3265
2554 1580 101 2358 2206 1124 3784
4260 2885 3651 594 3013 3677 3325
1111 1077 365 1545 872 40 1049
996 2879 2618 4346 833 2418 311
1016 4564 1427 2930 3764 3182 93
2278 563 1099 756 1499 1271 1783
109 1569 3705 612 1487 3689 2437
726 4303 4433 1944 534 2515 4056
3443 2903 1123 632 928 3364 2027
793 2150 2350 4534 2287 4040 3057
558 1482 4258 2552 506 1359 2939
1189 2900 603 2211 4583 2778 1002
3557 3728 3627 2994 1835 2329 3486
2485 1016 2258 51 1912 3943 4060
2647 4999 2254 3530 2971 2966 775
204 1282 1713 102 4386 1794 2370
1003 2087 1673 4358 2863 1429 791
684 3719 560 4337 737 859 588
2914 2633 252 1263 4335 1553 1156
665 4906 2973 2545 68 4838 4784
1242 73 1225 3324 2017 4869 2983
1614 3057 3418 1705 126 91 526
1267 3625 1926 178 1025 4397 3981
643 4323 3254 1270 2973 2280 1735
1937 1753 4205 3730 1574 648 323
4237 235 4164 3114 3593 1923 2587
3896 2325 3232 1797 1842 2463 78
4236 3792 4730 4187 2887 1828 2215
4276 3002 593 3943 2358 2128 1683
1753 2984 3519 760 1252 365 1544
3287 2247 2300 259 2452 220 1558
2865 2714 2792 2367 4123 3106 2013
1274 1734 4862 1263 858 2015 1355
747 4857 1716 2339 2464 4739 100
2785 1050 1131 3814 1819 564 977
1675 717 2361 3791 2443 2224 1180
3104 3663 896 2298 1546 1136 1244
