11882 49256 112696
103195 19141 75592
115092 38626 73966
93395 29847 37958
34122 44551 16574
60698 50352 97590
60670 112303 68720
41295 756 62905
67111 114033 82515
45214 57701 34744
56078 50744 76976
70892 74468 16219
8410 80854 63294
104894 107542 60697
117023 68944 20909
12203 8749 95659
70437 62806 85953
18348 82785 88803
38020 2874 106399
19862 31374 112896
53131 104946 10881
115045 43192 62340
66664 25918 67134
117186 74966 92030
88632 104058 50843
62076 10427 4787
15535 10708 79312
96893 110946 43051
57350 5678 69864
4101 83743 40946
79247 13131 72803
112227 42965 73728
104184 19371 22248
91621 97149 55117
117373 12875 85482
103569 36636 86656
85294 46255 27614
8611 95742 30964
35089 49870 93
40599 20741 62006
57926 101438 85617
57454 69453 99515
12865 118125 17940
54117 60059 111245
95776 89507 110293
47001 71470 41758
67325 3158 109216
1424 8813 3420
11792 41399 52411
40237 54848 69590
58438 73007 75737
81651 103388 45680
108439 58181 17847
43922 48175 15173
67196 1078 94822
47939 21642 55830
12752 23037 90495
44802 100592 48907
59559 61472 25990
67111 94554 102853
7766 28637 22419
119935 49285 78670
68469 117983 37210
62406 65790 49699
61066 94277 102546
29060 1754 93603
43295 79973 70358
28451 105335 634
65175 104082 8007
91812 54172 63274
44266 53768 31494
19553 31329 101385
45569 55607 64684
59903 50435 85813
44109 30469 91439
29466 23877 84367
70689 52961 94223
83621 74986 106638
21001 112378 26592
115414 31801 111421
36657 22050 9793
35009 76245 92626
17163 20823 109122
117472 24645 82100
58453 93575 2866
33197 76623 32006
68958 80075 97449
71733 51548 14413
111443 47013 115341
91978 65350 105247
91966 3100 46186
104914 74130 17314
47966 111752 58338
109757 100725 81527
52690 44067 113378
56180 32569 40648
1110 59999 113142
10308 84608 91132
51341 49318 58340
49181 10788 73549
67572 96740 84249
33442 57810 108220
88229 86475 6232
52348 103068 16735
14841 78844 101265
118 9860 113111
7929 63194 109637
56977 19593 56214
58501 70956 14790
51283 30865 71284
27357 21121 56408
115945 78507 88832
1373 24363 111671
1691 95761 98596
10288 11951 11137
11133 18804 58236
105510 73673 65342
113408 71350 31480
53235 56667 101376
19267 99284 29625
49398 40684 28332
50090 14279 103042
86109 99282 40047
112831 79537 67323
60814 69360 44589
36904 47804 52232
15401 93579 1043
84844 89259 9415
50605 600 54279
70935 102634 11020
49678 36441 52404
29328 51994 91388
68377 62466 57601
6442 44938 25868
103220 98108 61139
84458 29351 8862
16138 91584 2706
104347 56989 97297
24297 68197 32974
50545 92899 49725
29300 73486 104461
63587 10086 43986
62729 98149 21242
114946 21540 61050
40597 13280 34333
4397 104300 41016
45885 79573 114224
63973 92033 75612
65981 1188 75335
97765 36321 3305
60404 48278 57238
55179 28431 118946
38256 38632 117177
48454 53753 52993
111028 74488 37659
103594 44995 19002
43715 87691 67282
102605 119338 75741
70535 100483 109022
18029 71489 43129
39718 38939 65152
2709 18070 115015
76739 110321 81701
77857 71382 32417
12526 61771 89631
53523 104074 17880
99130 97256 5965
97169 70529 36832
63224 69602 19598
103882 76622 34953
97945 39818 28214
35498 71344 70250
111949 20776 90267
43467 53706 117705
92684 54290 82365
50368 34242 5862
66689 90004 81438
67222 93506 56318
114224 108510 5198
26100 97499 74111
113769 37186 4679
81034 34487 11793
92531 33739 105079
117386 96931 24540
64641 33514 58911
53734 68995 89287
65313 97681 2775
77920 19833 105175
53074 71908 13916
78064 42412 1770
97741 107141 20631
85968 104383 104910
89395 85499 23636
105006 12159 27102
100073 76834 95252
76266 3348 45771
33007 41618 108366
63319 71960 26151
108331 65857 27481
37032 116494 4989
83633 85305 86308
35362 19691 14620
82535 107574 36250
78304 117339 77319
83368 53564 74832
75546 81403 47915
81558 68851 24275
77484 3796 90401
47587 47910 2617
38734 70212 113580
20491 25681 78570
71860 93246 47319
56525 85268 40864
112835 90638 115006
37983 79115 77554
44943 42561 10808
54638 39412 88360
50314 65647 96135
36276 43706 50850
26162 71350 30051
4952 25991 52279
23116 11541 11502
55762 86638 87485
106626 94837 32683
61588 110237 39710
21450 96324 117946
64139 50526 77875
85954 466 36914
27034 25086 83134
39763 36275 2290
45247 94561 25474
74137 63180 23496
66137 101171 10338
46710 101195 45465
57499 59841 52285
70115 22879 34144
55389 45178 4497
41583 102769 956
65484 72706 51406
11553 47810 36177
37222 77892 108335
36821 75603 93571
111594 80059 102383
116324 46195 70799
29288 96133 64175
115905 95565 77284
97785 88354 24285
89991 83787 1340
34256 107285 25364
83842 90426 66396
115273 14268 90298
1384 42170 104648
3415 64590 89549
113877 86297 67422
14548 28776 65729
48038 13805 92855
69991 94139 50502
73513 81674 112194
30237 68452 10624
101565 66925 44692
87900 53513 22050
107402 38550 6321
45412 37793 23284
68335 25786 65860
100789 12247 30535
952 67881 93945
73357 9400 91261
107220 35480 28805
47189 72560 23076
19842 84421 28763
73494 7191 107252
93834 9137 94199
88165 63211 32956
9618 72566 14326
49568 23180 62124
18037 112649 82595
88080 79498 23170
68035 28638 6720
92471 55706 42923
93805 42424 55108
73938 36747 95929
102546 61685 23505
61737 83404 10514
51447 63732 3661
24753 39871 17409
43481 22280 24442
100474 3870 30331
21634 110631 98036
52402 100770 68158
35957 6076 44407
31294 18137 112527
82360 49744 48550
21814 69698 66129
4586 30791 37046
89688 16154 68047
70330 74289 15780
22951 63605 106703
113386 67403 1165
36122 70467 10902
69837 60488 103054
