114 183
1 6 1
2 7 1
2 111 2
2 112 9
3 113 5
4 111 9
4 112 2
4 114 1
5 12 5
5 107 1
5 108 2
5 109 6
6 7 1
6 8 9
7 109 9
7 110 2
8 107 6
8 109 1
9 108 6
9 109 2
9 110 9
10 11 1
10 13 9
10 16 1
11 17 1
11 103 2
11 104 9
12 104 6
12 105 1
12 106 2
13 104 1
13 105 6
14 103 9
14 104 2
14 106 6
15 22 5
15 99 1
15 100 2
15 101 6
16 17 1
16 18 9
17 101 9
17 102 2
18 99 6
18 101 1
19 100 6
19 101 2
19 102 9
20 21 1
20 23 9
20 26 1
21 27 1
21 95 2
21 96 9
22 96 6
22 97 1
22 98 2
23 96 1
23 97 6
24 95 9
24 96 2
24 98 6
25 32 5
25 91 1
25 92 2
25 93 6
26 27 1
26 28 9
27 93 9
27 94 2
28 91 6
28 93 1
29 92 6
29 93 2
29 94 9
30 31 1
30 33 9
30 36 1
31 37 1
31 87 2
31 88 9
32 88 6
32 89 1
32 90 2
33 88 1
33 89 6
34 87 9
34 88 2
34 90 6
35 42 5
35 83 1
35 84 2
35 85 6
36 37 1
36 38 9
37 85 9
37 86 2
38 83 6
38 85 1
39 84 6
39 85 2
39 86 9
40 41 1
40 43 9
40 46 1
41 47 1
41 79 2
41 80 9
42 80 6
42 81 1
42 82 2
43 80 1
43 81 6
44 79 9
44 80 2
44 82 6
45 52 5
45 75 1
45 76 2
45 77 6
46 47 1
46 48 9
47 77 9
47 78 2
48 75 6
48 77 1
49 76 6
49 77 2
49 78 9
50 51 1
50 53 9
50 69 21
51 57 21
51 71 2
51 72 9
52 72 6
52 73 1
52 74 2
53 72 1
53 73 6
54 71 9
54 72 2
54 74 6
55 56 1
55 58 9
55 61 1
56 62 1
56 67 2
56 68 9
57 68 6
57 69 1
57 70 2
58 68 1
58 69 6
59 67 9
59 68 2
59 70 6
60 65 6
61 62 1
62 65 9
62 66 2
63 65 2
63 66 9
64 114 21
66 67 1
70 71 21
73 75 5
74 76 5
78 79 1
81 83 5
82 84 5
86 87 1
89 91 5
90 92 5
94 95 1
97 99 5
98 100 5
102 103 1
105 107 5
106 108 5
110 111 1
112 113 1
113 114 2
