131 231
1 70 7
1 71 1
2 72 1
3 11 19
3 72 15
4 5 1
4 53 19
5 7 15
5 54 19
6 7 1
6 55 7
7 32 7
7 49 19
8 9 1
8 24 7
8 65 1
8 71 19
9 11 15
9 66 1
9 72 19
10 11 1
10 66 15
12 51 4
12 126 16
13 52 5
13 131 16
14 15 1
14 125 7
14 127 1
15 129 1
16 129 15
16 131 10
17 18 1
17 101 7
17 107 1
17 114 2
18 20 15
18 111 1
18 116 2
19 20 1
19 104 18
19 111 15
20 126 2
21 22 1
21 35 7
21 59 1
21 61 19
22 24 15
22 60 1
22 63 19
23 24 1
23 60 15
23 65 7
24 69 19
25 26 1
25 38 7
25 113 1
26 115 1
27 115 15
27 125 2
28 29 1
28 50 7
28 57 1
28 73 57
29 31 15
29 58 1
29 75 57
30 31 1
30 35 19
30 58 15
30 61 7
31 62 7
31 80 57
32 33 1
32 55 1
32 57 19
33 35 15
33 56 1
33 58 19
34 35 1
34 56 15
34 59 7
36 37 1
36 87 1
37 90 1
38 90 15
38 102 1
39 40 1
39 77 1
39 86 18
40 42 15
40 78 1
40 88 18
41 42 1
41 78 15
41 79 6
41 94 7
42 95 7
42 102 18
43 44 1
43 67 1
43 77 25
44 46 15
44 68 1
44 78 25
45 46 1
45 50 57
45 68 15
45 73 7
46 74 7
46 79 19
47 48 1
47 53 1
47 67 57
48 50 15
48 54 1
48 68 57
49 50 1
49 54 15
49 57 7
51 52 1
51 128 16
52 130 16
53 54 1
55 56 1
57 58 1
59 60 1
61 62 1
61 63 1
62 64 1
62 89 57
63 64 1
63 69 15
64 70 15
64 92 57
65 66 1
67 68 1
69 70 1
69 71 7
70 103 57
71 72 1
73 74 1
73 75 1
74 76 1
74 82 18
75 76 1
75 80 15
76 81 15
76 84 18
77 78 1
79 83 7
80 81 1
80 89 7
81 91 7
81 100 18
82 83 1
82 84 1
83 85 1
83 94 6
84 85 1
84 100 15
85 96 6
85 101 15
86 87 1
86 88 1
87 90 1
88 90 1
88 102 15
89 91 1
89 92 1
91 93 1
91 107 18
92 93 1
92 103 15
93 104 15
93 111 18
94 95 1
94 96 1
95 97 1
95 98 5
96 97 1
96 106 15
97 99 5
97 110 15
98 99 1
98 105 10
99 109 10
99 117 15
100 101 1
100 107 7
101 106 6
102 113 7
103 104 1
105 108 1
105 109 1
106 110 1
106 118 7
107 111 1
108 112 1
108 113 2
109 112 1
109 124 15
110 117 5
110 119 7
112 115 2
112 125 15
113 115 1
114 116 1
114 118 4
116 120 4
116 126 15
117 122 7
117 124 10
118 119 1
118 120 1
119 121 1
119 122 5
120 121 1
120 128 15
121 123 5
121 130 15
122 123 1
122 127 10
123 129 10
123 131 15
124 125 1
124 127 7
126 128 4
127 129 1
128 130 1
130 131 5
