295 532
1 236 15
1 243 3
1 244 1
1 247 6
2 3 1
2 246 3
2 247 2
3 248 2
3 256 7
4 6 7
5 6 2
6 48 325
6 52 341
7 229 15
7 237 2
7 241 6
7 243 10
8 232 14
8 237 6
8 241 2
9 10 15
9 160 8
10 12 5
10 181 8
11 144 53
11 181 8
11 197 8
11 219 38
12 138 61
12 197 3
13 222 7
13 224 2
14 218 4
14 220 2
14 222 2
14 224 7
15 16 6
15 214 7
15 215 5
16 17 6
16 216 7
17 218 7
17 224 4
18 184 22
18 203 4
18 210 2
18 217 17
19 20 8
19 173 30
19 199 9
19 211 2
20 21 2
20 209 9
21 211 8
22 23 1
22 51 53
22 61 23
23 25 15
23 62 23
24 25 1
24 50 69
25 66 15
25 98 60
26 45 1
26 262 39
26 274 2
26 287 24
27 45 1
27 277 2
27 281 5
27 290 24
28 29 1
28 281 8
28 285 2
29 286 2
30 267 39
30 287 1
30 289 1
30 291 2
31 281 24
31 290 5
31 295 1
32 294 5
32 295 2
33 81 1
33 88 7
33 104 36
34 85 3
34 86 1
34 90 1
34 121 38
35 265 1
35 268 7
36 265 7
36 267 2
36 268 1
36 291 39
37 268 2
38 250 1
38 252 2
38 257 7
39 120 169
39 250 7
39 257 1
39 258 1
40 252 7
40 257 2
40 261 1
40 262 2
41 54 9
41 55 2
41 57 7
41 68 26
42 49 59
42 52 44
42 54 2
42 55 9
43 46 3
43 53 26
43 63 44
44 47 4
44 67 44
45 276 2
45 288 24
46 47 1
46 64 44
47 65 44
48 49 1
48 50 9
49 51 9
50 51 1
51 55 59
52 53 2
53 54 44
54 63 26
55 56 7
56 57 2
56 58 8
57 59 7
57 73 26
58 60 2
58 87 38
59 60 1
59 77 26
60 79 26
60 91 38
61 62 1
61 87 36
62 72 15
62 89 36
63 64 3
63 68 9
64 65 1
64 70 9
65 67 4
65 71 9
66 69 5
66 111 60
67 74 9
68 70 3
68 73 7
69 72 3
69 117 60
70 71 1
70 75 7
71 74 4
71 76 7
72 95 36
72 126 60
73 75 3
73 77 7
74 78 7
75 76 1
75 80 7
76 78 4
76 82 7
77 79 1
77 80 3
78 81 3
78 85 8
79 83 3
79 102 38
80 82 1
80 83 1
81 86 7
82 84 1
82 86 7
83 84 1
83 106 38
84 85 4
84 108 38
86 88 1
87 89 1
87 91 2
88 90 1
88 116 36
89 92 2
89 95 15
90 118 36
